"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161"
"omega",-0.0608727302111311,-0.0315251951584782,-0.0778312262034702,-0.0697654316096224,-0.0745447608265369,-0.0685123783754757,-0.0666935556955819,-0.0675353514511511,-0.0622196682932745,-0.0597772625153595,-0.0631449428821021,-0.0674437712641472,-0.0572582843691339,-0.0516275927951067,-0.0725195980875474,-0.121445926053693,-0.175626852614079,-2.43378197083525,-1.77374674293641,-1.67304273456478,-0.809927812328511,-0.528774905042013,-0.678995493006053,-0.7301031105469,-0.936396308499364,-2.32671077147583,-1.66861462122631,-1.47345336709519,-1.34371905193126,-1.31659742900274,-1.36097226653237,-1.32836001104433,-1.29805399317506,-1.43062222592023,-1.44392052376066,-1.46119368434387,-1.19011674333558,-1.00957636049605,-0.487913806525744,-0.244724088739666,-0.304358780925786,-0.827177212593081,-0.103561392507577,-0.0590855878687805,-0.0686413770386021,-0.0501537236177979,-0.056497538803875,-0.0629093296275766,-0.0574504556576809,-0.0671882165481128,-0.0606385302965911,-0.0944669365087228,-0.0465920160943424,-0.073578366228154,-0.0670772086789564,-0.065127421971114,-0.0609968953931401,-0.0623289054006517,-0.0509400410608866,-0.0341217258155545,-0.0421092555340653,-0.0273032447423427,-0.0137150319641041,0.0231647037509228,-0.0336365781988131,0.0192020871118807,0.021454468473393,-0.0473917207183397,-0.0429817094691978,-0.022038061643466,-0.0107695027720916,-0.0292255774831013,-0.0277615834419405,-0.0321974787212723,-0.0293712674224306,-0.0356268227985225,-0.0474423435109231,-0.0345634313228029,-0.0393055067223459,-0.0836780959814083,-0.218048135445144,-0.252779856084838,-0.290062029955496,-0.447651600252538,-0.547994980965189,-0.364276164841937,-0.822707038747752,-0.687420056349373,-0.387664442060528,-0.435391913151268,-0.439073438727457,-0.514957853030346,-0.474521791120148,-0.351689746211744,-0.298954187964555,-0.310812742037292,-0.297420463579933,-0.291669313128518,-1.70250166067063,-1.52849798196143,-0.288426343013242,-0.2324119380064,-0.240331650043316,-0.242178616799497,-0.199445907164343,-0.21396140043017,-0.213161213439501,-0.176401183568302,-0.175679337136973,-0.180078119445458,-0.125173528303056,-0.101761507173415,-0.105550525269046,-0.118806295437719,-0.120787588782655,-0.116564652519101,-0.0934907373695482,-0.102319130589925,-0.118446966322348,-0.0752484790145919,-0.0789012631733901,-0.056502095037501,-0.0432173942194824,-0.0504162334326346,-0.0368506307466475,-0.0595124098792323,-0.0528594170626951,-0.0116205721857605,-0.0383077459901997,-0.0520022415230566,-0.101432267866326,-0.182275267826066,-0.234851891335623,-0.337832238573216,-0.674497530000733,-0.698639856518147,-0.690858491174793,-0.677863652126265,-0.713997817815896,-0.511608341017145,-0.505120534441509,-0.53319359298958,-0.87787262326031,-1.05515462044462,-0.861412480887996,-1.03580552769156,-1.01783708603779,-0.884330247140207,-0.906312985469808,-0.831444774162692,-0.772703103464415,-0.737731303203055,-0.874219975686365,-0.736824904588452,-0.230369778681287,-0.210148147492235,-0.211909725606061,-0.212294220244969,-0.208642111681809,-0.185237659204827,-0.199466708168389
"alpha1",0.0737471986217165,0.0883061494634933,0.0514620416048579,0.0531698301073601,0.0625956751044415,0.0548040167300686,0.0573774421561329,0.0593366331056197,0.0594426607501864,0.0542382846015275,0.0476572972258644,0.0520231753881684,0.048102001862731,0.0352837978899894,-0.00349072851676206,-0.0119361686935939,-0.00399540472383841,-0.0239782066616226,-0.0489793117053091,-0.0753587173433777,-0.0820937954934154,-0.0523724691564065,-0.0708002224581583,-0.0800175194958879,-0.0956014434340487,-0.100111978931362,-0.155631775186269,-0.122113227075179,-0.140099709417081,-0.145493463619912,-0.125739286433071,-0.128511020494049,-0.15229143108432,-0.130161159219776,-0.157923197299357,-0.165264185531451,-0.184630401370152,-0.173591742045632,-0.18300711787553,-0.121124933967734,-0.140268304078768,-0.234512377637684,-0.0990313785957514,-0.0920434721764235,-0.0958094103563572,-0.0895351224452542,-0.0816432142060598,-0.0787477313904603,-0.0897350934974324,-0.0962292062444009,-0.107943949803013,-0.115542521934062,-0.100862732443617,-0.132392583099396,-0.121091597655213,-0.137064564870217,-0.128004161955206,-0.126755974906139,-0.0822851716961244,-0.058197285380272,-0.0533848072169365,-0.067211395081289,-0.0922638666536449,-0.131051888720863,-0.070559141347461,-0.1226349154217,-0.113124688293269,-0.0731894738026026,-0.0323606708340689,-0.0293899667391435,-0.0288223992330803,-0.00543663687536741,0.00431622745508276,0.0411445141203047,0.0579247753259263,0.0369915587239592,0.0772760767182798,0.0839659395162794,0.0854325612504485,0.0471717918235053,0.031543562141286,0.0206517337828626,0.0462846119610392,0.0701825965429053,0.032876510173291,0.051951913129483,0.0445071865810062,0.0553204661328309,0.0547136231885116,0.0427222980515356,0.0275015799613077,0.0198162978031028,-0.00570055310754265,-0.0159853547725384,-0.0425836692562094,-0.0386262979268668,-0.0333939706530969,-0.062916360400937,-0.0599325723037212,-0.089436744390375,-0.0590921511216071,-0.03167573136928,-0.0301333997424672,-0.044063601367098,-0.0448519628003793,-0.0324103702646657,-0.0307791789599332,-0.0341687398260143,-0.0380212438717197,-0.0228565886713534,-0.00287114030460869,-0.00175034760477222,-0.00724472509548263,-0.00149947725302585,9.56283014398126e-05,0.00211415511760837,0.00643202303091728,0.000681612938729049,-0.00218264652543567,0.00180653134204648,-0.0363996152893254,-0.0691073631675689,-0.146576880813111,-0.135072736312098,-0.0993320304242548,-0.0576543822424847,-0.053178117102863,-0.0952745921592957,-0.0591683957598298,-0.0570519491553017,-0.0397561958213567,-0.0712318790504306,-0.0491236005278044,-0.0946056792027618,-0.143405547141986,-0.125805844098889,-0.103594283643966,-0.100279266991708,-0.0829829399245681,-0.0830092119930961,-0.0996613520802516,-0.0708523193912245,-0.0946682001447241,-0.0989107170920275,-0.0939760553798043,-0.0820759576441034,-0.115399918055568,-0.110315334677068,-0.0907478013195682,-0.0699286191994832,-0.0775607897824121,-0.113700122932741,-0.0984466281185805,-0.111842905705917,-0.105285073849689,-0.130143735429641,-0.140651241762194,-0.153979484049088,-0.161169648943794,-0.154617185425235,-0.139711028378632
"beta1",0.976608344395539,0.991504588890373,0.974081322349403,0.974415423325278,0.972557348650324,0.975535761077939,0.975685346243368,0.976160419300038,0.976818000160558,0.976740955526512,0.97833916508437,0.977372405667199,0.979237097768909,0.983400008453002,0.976536915175318,0.960563981627975,0.94314949936188,0.234461684384676,0.450530891418258,0.500189768021047,0.75708322841857,0.839704165012372,0.793574460635684,0.771965928843986,0.716230445032928,0.292083313651112,0.474464623677871,0.52239625870833,0.561224466826594,0.563766468615913,0.548794668662927,0.563752210034842,0.575733943940471,0.535545361631566,0.524708971328528,0.515724626775137,0.594194024220407,0.648974041323482,0.827862631138929,0.913168989288778,0.890037241534875,0.700382128947183,0.964671959017668,0.982282655106169,0.978410089757362,0.985480860297972,0.98324884169969,0.980939424977308,0.983224113678884,0.980029418164013,0.982672496076065,0.968630743799294,0.983384612756848,0.975703469855721,0.975420961180265,0.975942586879808,0.97870933026513,0.978197629619272,0.976071935756374,0.978700135677793,0.975546378615427,0.975157331688807,0.975945775672968,0.974315353043214,0.97094562271542,0.975542484685293,0.973489908758393,0.954325273739575,0.971740064720781,0.977127822019742,0.980146269087946,0.982679129236622,0.976491823289267,0.98388865188175,0.986668402631757,0.985381447887719,0.981656116090473,0.985369857335154,0.984088457751696,0.967492118650896,0.915690304832028,0.903375872901517,0.896166545825091,0.844392836840078,0.807772085631175,0.870488756206735,0.705136904285057,0.763720469121358,0.863312822103106,0.851415058536017,0.845392375049789,0.81766077228261,0.839519128811691,0.884645911785593,0.899925355801834,0.892567537602774,0.903628121774774,0.910012516235924,0.488225895831326,0.542051498676334,0.910044511749758,0.92747067511234,0.925173209997195,0.925597891673291,0.936447891100397,0.933161012608027,0.935821226645654,0.944907927249992,0.943213698974946,0.945296834249299,0.959611115303308,0.966493943081223,0.962478196743269,0.960315479392127,0.959590429578096,0.960072047906138,0.963558071273038,0.963223282847108,0.955371744563041,0.975443141166236,0.976437400360657,0.98235174471523,0.98674216366923,0.985256718281291,0.989939648898,0.980940606124254,0.984269191513174,0.997356648407626,0.989886518413784,0.98545056038876,0.96845519306112,0.945737953025157,0.93436948196748,0.89221344816834,0.787395381154596,0.782175577550375,0.794858234077794,0.793299955011844,0.790471858307988,0.845556479395712,0.8346052658881,0.849196263026914,0.755134474030765,0.709658356530582,0.750718519930878,0.718805880526856,0.707929464523791,0.730921914896471,0.74209525770927,0.772941071686101,0.788727101711856,0.802274411709712,0.776102410804414,0.812374179694527,0.944746758400775,0.951193128219032,0.951181568964389,0.949607686778752,0.950278367476965,0.953600297619145,0.952289457837716
"gamma1",0.216477453545944,0.101972489840381,0.171909195925455,0.194263856203355,0.189269405315294,0.171874424714636,0.166646615600781,0.162618161057432,0.173637327019812,0.166066533954003,0.130658194558434,0.149704996114289,0.152965586116855,0.095319194695062,0.115772258721935,0.0962021374571437,0.0918310378278416,0.210289285774928,0.153975499882257,0.235269547643118,0.10795422825291,0.0603630956982581,0.0372918761591099,0.142748736027755,0.135311039311569,0.453126421540063,0.463903526061641,0.56320606221746,0.581861881490247,0.633093745678838,0.656443347157595,0.644466771230013,0.641749369540118,0.67629352110431,0.634695572660056,0.620454778088246,0.603831913639763,0.538029166183707,0.335049956455941,0.178696066066525,0.182294762178831,0.373150884989886,0.0556417321368271,0.039006212926649,0.0357250922156226,-0.0020319867823103,0.0507094902808209,0.0659541087018135,0.012793931170187,0.00857431782976244,-0.0347336008397969,0.121593041069691,0.171506195636228,0.138770278963401,0.186686250104816,0.160403214404954,0.138854955306895,0.151611911110085,0.267163091154279,0.334891700570658,0.340961458833861,0.398349806604882,0.461934406084807,0.710444739297946,0.376965304780894,0.749568582031902,0.801892850444998,0.47663676236353,0.364408144628407,0.410971172563748,0.466997501927209,0.326959026927328,0.41974453440728,0.256575879805148,0.237265382436735,0.248975147741821,0.212018726742989,0.199812149729433,0.213308853063018,0.282673859292927,0.333675874899385,0.324312124418963,0.290097575721835,0.383603640446729,0.406774601421191,0.326191474436248,0.4626118062715,0.399923716742968,0.296850924218984,0.313055733064751,0.334334541108628,0.362958266339603,0.334568875445684,0.256521983054988,0.264566247546899,0.277382354859766,0.25061078286509,0.207973790849044,0.563416393285474,0.463966951372226,0.247922351070747,0.211941131109749,0.22146791249502,0.209328255168711,0.204765057384705,0.197738878137079,0.190183434113502,0.172207953255089,0.171872736826997,0.154748093695657,0.12039053221304,0.118595022333621,0.125377360856412,0.120340838311604,0.124667805930947,0.121980471192067,0.145761466850928,0.13506309226351,0.137217192379054,0.100961115053675,0.0657303020578315,0.0113540583882885,-0.0993731519194907,-0.104622088981647,-0.0665863842821726,0.0435309698222729,0.0371917243307596,-0.0659488671891573,0.020863104145805,0.0261624052065514,0.0893251938896076,0.153824014689609,0.134247270390562,0.156696530390791,0.194658694927639,0.195906028891919,0.177488000462406,0.198946748070257,0.194414305877406,0.207733607372537,0.232609032747976,0.163328580266046,0.198899290307042,0.214936518319456,0.229027836185418,0.221635702293295,0.295377440519033,0.33374119171466,0.298591063509947,0.304879194737605,0.29479005829812,0.197675305675017,0.204124577268977,0.156820182421241,0.0556616051916496,0.0247843844760156,0.00881501417051588,0.0111049646900338,0.0123633237847124,0.0323131618834364,0.0379011940429903
