"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161"
"omega",0.00157466054030599,0.000804485859678755,0.00146593443232698,0.00169098273591417,0.00172661456805446,0.00142716743581539,0.0013546641648831,0.00136394294314852,0.00149232236145644,0.00155558315590691,0.00108486570338842,0.00125982619640494,0.000990231952264696,0.000494039077398377,0.0017240149789644,0.00252862601104971,0.000432938778930553,0.000545287289663077,0.000697199751490888,0.00695460091250968,4.93784052025986e-05,3.78799464069405e-05,2.5405283568051e-05,6.97683086474436e-05,0.000176941616701929,5.50026127058254e-05,0.0144501996537442,0.00775873055242247,0.00137060616272286,0.00158071808859144,0.00148721201274044,0.00904286726856159,0.00918700850444656,0.0228793582779033,0.00205107438425509,0.00179577386242024,0.00237017540557248,0.00326269162392889,0.00783679281880053,0.0086365727622059,0.00937647453161089,0.0103948536164351,0.00250253470570062,0.00130869399030985,0.00138604589584634,0.001042620305795,0.000863886078752268,0.000989611980270759,0.000926138250518394,0.00104950279580068,0.000815316462126355,0.00172744011371596,0.00260324813709959,0.00402866237004591,0.00404646089006402,0.00431394606627993,0.00295214495591653,0.00322865338664166,0.00345187431917965,0.00345661787157346,0.00352890643136417,0.00403682910848271,0.00417381805909523,0.00673357533751533,0.00673054829488433,0.00634569882938741,0.0102905929395902,0.0142039815516447,0.00596568919165059,0.00575257865907253,0.00385759622605976,0.00244824238834001,0.00323086951464334,0.00110939769913899,0.00115613300715163,0.00100528611687553,0.00135874663434807,0.00143601711993947,0.001537523368607,0.0027403501551527,0.00784377172436595,0.00962052915715978,0.00974827951359105,0.0103942931002176,0.0125761585221471,0.009810292654326,0.000236254004791433,0.000195921490237902,0.0155132183795542,0.0154078678180471,0.017019947679433,0.0170482591404544,0.0184937931953877,0.0184058733931633,0.00712564718920397,0.0214993290672996,0.00630491937130193,0.00416707019222182,0.0176135199307444,0.00513655100647919,0.00439783165829004,0.00366616555360592,0.00363095414357907,0.00335721077095578,0.00322131776328554,0.00323785322867408,0.00308927797839318,0.00253775660783558,0.00284534377798511,0.00236220780561907,0.00156396330977697,0.00122495078172079,0.00203667227513226,0.00210215804232491,0.00191172781010602,0.00185854977444535,0.00240427895030906,0.00203783479845488,0.00260991839420136,0.00130393879695277,0.00126848250264973,0.00179680654990558,0.00242358000680643,0.00121531760387619,0.0011269087399829,0.00147530372133406,0.00119087047096526,0.000509360530606244,0.000525277794076898,0.000693872619609713,0.00128423262299899,0.00156806187660418,0.00103715713504688,0.00267079547355178,0.01295482220018,0.0123649618637006,0.00985601523443094,0.0106483300967285,0.0108562352010057,0.0101569752675724,0.0110186734224141,0.00770648103316519,0.00954886453824615,0.0095417045495594,0.0104710137869011,0.00916786243745858,0.0119730149169783,0.0135892462008216,0.0110013822603544,0.00961442912439588,0.00959389820266054,0.00857922467187057,0.00787048197531775,0.0071241612767838,0.0016192752586931,0.00151687545260659,0.00149335984922832,0.00178215198157396,0.00173968056648974,0.00171852063656914,0.00146101060227762
"alpha1",0.151545590753892,0.107864330961743,0.0992443534892119,0.123512298052577,0.113030033100064,0.0964257669438957,0.093262989495466,0.0967665056001978,0.109081507902974,0.0959609886689377,0.0631821696464552,0.0771997895158532,0.0617479303417397,0.0288321442276771,0.0565070095232804,0.0413794911261733,0.0141624650170614,7.42070166648106e-10,3.00559189995698e-11,9.2831859399746e-18,3.83841829805353e-11,7.35993482969274e-10,5.73581131099377e-10,8.25612721599463e-09,4.1921829181142e-08,7.03093196427626e-09,6.42570135642723e-18,5.13627931770661e-13,4.69624747901956e-10,8.76457360758316e-09,1.36195787198883e-08,0.0315932428833368,0.0373902407417602,0.284679872650797,0.00404336751924785,4.66548475136212e-09,1.11118664950902e-08,0.0104381779547879,0.0250181882512355,0.0324790849210151,0.0175103923754154,6.23992437704861e-13,1.09924022348249e-09,5.45898290877911e-10,6.93521581520872e-10,1.03298118333368e-08,2.23381977601283e-09,0.0219690886643216,0.00544115503126904,4.96932650524188e-10,4.14204889637939e-10,1.09773772096331e-09,0.0276471469427685,0.00310237130523685,0.0625989895023094,0.0501276079231518,0.0377053757143317,0.0449567447343256,0.0873824348149697,0.117926922286894,0.121452700911813,0.125830499324205,0.109249194851696,0.133292467793499,0.126942500573451,0.142649244678021,0.175915171000015,0.189086769932173,0.134909960106497,0.129308325305056,0.121709029398167,0.1157747775934,0.136643144905465,0.0898364496306101,0.0928245931345385,0.0920112382568532,0.115269419554609,0.115718456722626,0.121512362860606,0.186595119969783,0.309797424415101,0.275522096611904,0.270257792956937,0.349498835682436,0.337717530545941,0.302410705221282,0.00987598532064285,0.00659226572856508,0.35138570290075,0.341491158720191,0.362889387990903,0.353716441835511,0.348846085540859,0.298896491577367,0.114235100891593,0.341125350445429,0.109406626457233,0.0408581320218161,0.304590378099513,0.0468236267757019,0.062462478522344,0.0581443407427858,0.0624797627154431,0.0497451524219984,0.0488320323506646,0.0491535453265742,0.0473717921024543,0.0487812321046536,0.0500730789020313,0.0490491182562545,0.0506489519193516,0.0526911665707914,0.0589517810616103,0.0560692625862255,0.0673760449529629,0.0722103353535655,0.102975895794772,0.0853541427024296,0.089971033928042,0.0521090253979535,0.0246831269774386,0.00920059421266891,0.0159016570260963,0.00401500166744432,0.0167681038331496,0.0213743765892617,0.0165933405837289,3.41658861115305e-08,1.94332055125562e-10,2.26864063648289e-08,0.0247093169985689,0.0456749320398104,0.0479379953948167,0.0276663100153692,0.0219012959902464,0.0334144187612079,0.0249910794847515,0.0328762615495844,0.0424036922346821,0.0418957812519198,0.0513929427113972,0.0262283084777643,0.0449755089424036,0.0482881718001313,0.0653271258679866,0.0655206238698726,0.128724854101479,0.163477773442093,0.139450630443679,0.162363278731845,0.154635182483128,0.0379644938801822,0.052503028301845,0.0220231758272685,3.91382044687434e-13,1.50871641224576e-11,1.70942903900129e-12,7.53034713058079e-13,6.04002463517085e-13,8.60062461883332e-10,6.32369776143470e-13
"beta1",0.915281745979702,0.943718313595339,0.923934210865969,0.920900699484798,0.927540178432801,0.935132848642037,0.938897237469397,0.935462836627063,0.935767100928889,0.943237996771836,0.955913330729815,0.945576396058279,0.964418507405324,0.980884284796245,0.923205313608113,0.915719155427888,0.985134953396708,0.987512750193068,0.984819007100837,0.756130846225017,0.995434128151089,0.996706526184163,0.998134521831508,0.999999989888055,0.999999983196407,0.99999997704112,0.539027776705577,0.725406819843425,0.947595234299318,0.942938258195464,0.949049123271153,0.652399239094871,0.635321344147411,0.171963519790378,0.932456186937295,0.940527204326753,0.917585822000504,0.887484958098781,0.733028077051328,0.725680609283801,0.736915080090376,0.716748147506556,0.921309761148153,0.942101742176012,0.942411970317551,0.951334772239776,0.950300319409724,0.931823320232989,0.943108093850803,0.945085394533529,0.947575402778267,0.916726736776878,0.879495116251146,0.851845510174367,0.833573915703252,0.836268566293422,0.869466817221541,0.859591064260424,0.85711919576279,0.841950198392188,0.8433106495551,0.834818920593885,0.841881149732155,0.81881594452794,0.828754842793184,0.810948781729763,0.766304240584905,0.738788408417218,0.843548544646113,0.853863251712087,0.865058712470035,0.890970074066592,0.877134478174687,0.940549169496386,0.941270725724223,0.929473343632164,0.931604747073478,0.933847937790095,0.928719643982037,0.863881594078957,0.739767564472523,0.715007190651322,0.689511538414678,0.637299754874193,0.606466524529494,0.685855948583753,0.998277168172913,0.998561848574886,0.564221444614303,0.541083845195903,0.522015582993698,0.526515315252981,0.424076649007115,0.41667505154733,0.756873191031392,0.343638806135857,0.764266048760798,0.819159309909575,0.256022137555157,0.782879722370806,0.806185045841669,0.842016600977044,0.840411273814653,0.84688756067449,0.859358603141201,0.859171741434993,0.852790860925724,0.880876913068395,0.880830096744464,0.883716726458856,0.932623151484357,0.945052918872048,0.937433231352253,0.925695367628138,0.928067585469886,0.931001597594049,0.932652751352303,0.932408226936681,0.929043504473573,0.945442235004718,0.943978571008749,0.946075113119316,0.942929071997179,0.959050870164052,0.952102438947715,0.951179559125587,0.954868502469937,0.973332969985,0.971371455980917,0.965617907647554,0.946096207020501,0.902837015219905,0.919221278256806,0.902286627894491,0.613330079811929,0.625956801853508,0.651145767485797,0.651143394113252,0.623491607902113,0.662787883451641,0.645858707676031,0.679605758804714,0.581275035048868,0.555528341836521,0.578491905930536,0.548365959234737,0.424373184073284,0.443123675350062,0.44080450407735,0.450846156742357,0.459568076611988,0.548067523557086,0.507647740136913,0.559079691603486,0.868877345414845,0.865933445074552,0.862897565809871,0.854338174049417,0.864393965646423,0.881633635836184,0.881330961060914
"gamma1",-0.135654689931224,-0.10516532300397,-0.0910532341231465,-0.109983284557179,-0.107110948292502,-0.0912346792735,-0.089832531591575,-0.0922490695339265,-0.10266850453994,-0.0943948893922445,-0.0682619569743499,-0.078377238598342,-0.0703760402789291,-0.040978275533927,-0.0237576627083927,-0.0187970963726428,-0.0190891477035341,-0.00311526963241292,-0.00371032877105263,0.116281326121962,0.00712958850580386,0.00458664522557041,0.00173080761876931,-0.00436592159690392,-0.0118234156261198,-0.00368312863385657,0.290284950441966,0.248034552047173,0.0493251562587169,0.055995386397556,0.0453688631463839,0.331837406806245,0.35697069992109,0.367288520865307,0.0489841476645506,0.0470509367668213,0.0785499696741718,0.0923137210498868,0.253757732158337,0.230775650670203,0.224130172504405,0.271442367946263,0.0712515056640758,0.0591065352136729,0.0594385381120988,0.0499273009510645,0.055283538531723,0.051076172256994,0.0597639698132943,0.0621038570505458,0.0641467740590563,0.120817795452688,0.155921647714293,0.197469204629995,0.182381443630753,0.20504310743412,0.144540384099854,0.149503512562981,0.108996671306834,0.0782457093311109,0.0684732865844731,0.0767011197379524,0.0957392772481572,0.0937831517885349,0.0866052539091514,0.0908039300692835,0.113561175991677,0.142249617265759,0.0410829749949377,0.0316568295051141,0.0244644852963533,-0.0154897195419249,-0.0295552749496415,-0.0627712668462027,-0.0701906547822229,-0.0449691846232376,-0.0957483396692988,-0.101132790220289,-0.10246401784387,-0.102953433571908,-0.124514251659288,-0.0798911389995954,-0.108285941696026,-0.195418373335874,-0.141670775806249,-0.167478125274945,-0.0219780781276755,-0.0161447059634625,-0.209864394844273,-0.158915332312335,-0.146083593161072,-0.126331051676218,-0.0592782036214454,-0.0374175042921229,0.0662005770651147,0.0440863944355385,0.0478388453116741,0.0938549816061018,0.160489939103873,0.104223264344016,0.096174293453182,0.0565138239767344,0.0540766990197596,0.0632910212908272,0.0757620373278093,0.0548016844538547,0.0595838020639782,0.0430033705471613,0.0459922115316839,0.023804522875826,-0.0240843650144729,-0.0313515179118252,-0.0314518057161101,-0.0293956361959168,-0.0425078381040585,-0.0499786267555923,-0.0732574351938296,-0.0569523049642088,-0.0600760695029278,-0.0353892198235881,-0.00356923570197469,0.0122792033381288,0.0152622094017634,0.0133183310541242,0.0034464769972912,0.00239636284723236,0.00412526167688259,0.0115978494072418,0.0148512639101467,0.0181002131396386,0.00185272302473201,0.0356723589692513,0.00131174015910003,0.0522331469625151,0.219944498135556,0.168486243626489,0.114041213283049,0.125106840099565,0.102766610070046,0.143658659240431,0.157490584468418,0.113354132298202,0.136576035155124,0.150021381515778,0.143210819160851,0.121153880661749,0.331930337445103,0.351385520856026,0.255109812823263,0.228814620467348,0.253972910470789,0.223151219991232,0.192477556082904,0.173357217036231,0.0865442395261532,0.0913346166890575,0.0922501457952276,0.113133575309472,0.107559476492016,0.090305313669268,0.0790063768913431
